City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,18.43,46,75,3.6,CA,1722730567
1,waitangi,-43.9535,-176.5597,8.79,88,76,1.34,NZ,1722730688
2,port elizabeth,-33.918,25.5701,20.16,21,0,2.57,ZA,1722730689
3,invercargill,-46.4,168.35,8.9,74,71,1.79,NZ,1722730690
4,bredasdorp,-34.5322,20.0403,7.67,92,89,3.47,ZA,1722730691
5,acarau,-2.8856,-40.12,25.41,82,31,8.26,BR,1722730692
6,port-aux-francais,-49.35,70.2167,2.46,86,35,8.58,TF,1722730694
7,talnakh,69.4865,88.3972,14.49,63,71,3.15,RU,1722730695
8,bethel,41.3712,-73.414,23.84,95,0,1.54,US,1722730696
9,kone,-21.0595,164.8658,22.11,42,2,4.9,NC,1722730697
10,puerto natales,-51.7236,-72.4875,1.6,99,100,1.26,CL,1722730698
11,ghanzi,-21.5667,21.7833,17.66,23,0,3.95,BW,1722730700
12,porto-vecchio,41.591,9.2795,25.74,83,0,1.03,FR,1722730701
13,carnarvon,-24.8667,113.6333,16.46,66,0,4.86,AU,1722730702
14,jamestown,42.097,-79.2353,23.8,80,0,1.54,US,1722730703
15,la'ie,21.6477,-157.9253,29.98,74,52,3.13,US,1722730704
16,papao,-17.75,-149.55,26.82,72,62,6.48,PF,1722730705
17,bilibino,68.0546,166.4372,8.56,65,100,0.99,RU,1722730708
18,albany,42.6001,-73.9662,24.77,72,68,3.45,US,1722730471
19,hermanus,-34.4187,19.2345,11.98,81,81,10.09,ZA,1722730710
20,udachny,66.4167,112.4,18.95,49,41,3.29,RU,1722730712
21,stanley,54.868,-1.6985,11.51,89,0,1.54,GB,1722730713
22,ballenstedt,51.7167,11.2333,18.97,95,100,2.5,DE,1722730714
23,lihue,21.9789,-159.3672,27.77,75,40,4.63,US,1722730488
24,mvurwi,-17.0333,30.85,10.69,48,30,2.46,ZW,1722730716
25,federacion,-31.0062,-57.8996,13.66,78,41,6.95,AR,1722730718
26,montepuez,-13.1256,38.9997,16.12,95,74,2.44,MZ,1722730719
27,saint-paul,-21.0096,55.2707,19.06,91,11,1.77,RE,1722730720
28,hastings,50.8552,0.5729,16.61,76,86,5.28,GB,1722730721
29,sinabang,2.4803,96.3801,25.27,86,100,2.84,ID,1722730722
30,hithadhoo,-0.6,73.0833,27.51,77,92,2.41,MV,1722730723
31,howrah,22.5892,88.3103,28.0,94,75,0.0,IN,1722730725
32,snowflake,34.5134,-110.0785,27.54,30,70,7.09,US,1722730726
33,libreville,0.3925,9.4537,23.66,75,43,4.69,GA,1722730727
34,olavarria,-36.8927,-60.3225,9.69,43,27,3.41,AR,1722730728
35,hami,42.8,93.45,28.32,21,31,5.38,CN,1722730730
36,kingston,17.997,-76.7936,30.53,74,20,5.66,JM,1722730731
37,ugoofaaru,5.6667,73.0,28.32,76,77,6.09,MV,1722730732
38,nanao,37.05,136.9667,31.11,69,8,0.99,JP,1722730733
39,tommot,58.9564,126.2925,16.69,75,88,1.73,RU,1722730734
40,grytviken,-54.2811,-36.5092,-5.13,91,100,3.75,GS,1722730735
41,blackmans bay,-43.0167,147.3167,10.07,87,39,4.23,AU,1722730737
42,namsos,64.4662,11.4957,17.03,82,23,2.57,NO,1722730738
43,tiksi,71.6872,128.8694,7.51,74,100,0.99,RU,1722730740
44,adamstown,-25.066,-130.1015,21.02,74,43,6.73,PN,1722730741
45,fortaleza,-3.7227,-38.5247,28.37,89,0,4.12,BR,1722730651
46,iskateley,67.6803,53.1512,8.21,84,83,7.43,RU,1722730744
47,san antonio oeste,-40.7319,-64.9477,12.09,35,27,6.66,AR,1722730745
48,peace river,56.2501,-117.286,24.17,49,0,3.6,CA,1722730746
49,opuwo,-18.0607,13.84,16.54,44,0,2.27,NA,1722730747
50,hawaiian paradise park,19.5933,-154.9731,26.52,88,100,2.06,US,1722730748
51,west island,-12.1568,96.8225,25.99,78,12,4.12,CC,1722730750
52,carlos chagas,-17.7031,-40.7664,20.76,88,50,3.29,BR,1722730751
53,edinburgh of the seven seas,-37.0676,-12.3116,12.33,80,97,15.13,SH,1722730752
54,labrador city,52.9463,-66.9114,18.95,76,75,9.39,CA,1722730753
55,port mathurin,-19.6833,63.4167,21.81,72,40,4.0,MU,1722730754
56,afaahiti,-17.75,-149.2833,25.93,73,80,5.6,PF,1722730755
57,mirador,-6.3708,-44.3631,26.89,37,38,3.87,BR,1722730757
58,thunder bay,48.4001,-89.3168,21.99,68,75,2.06,CA,1722730758
59,ribas do rio pardo,-20.4431,-53.7592,24.68,30,7,1.7,BR,1722730759
60,oamaru,-45.0784,170.9801,6.77,56,28,2.93,NZ,1722730760
61,ginir,7.1333,40.7,14.88,81,98,5.22,ET,1722730761
62,fedorovskiy,45.0972,40.9517,21.02,43,32,2.07,RU,1722730763
63,utrik,11.2278,169.8474,28.39,76,4,3.85,MH,1722730764
64,ancud,-41.8697,-73.8203,8.32,91,100,5.11,CL,1722730765
65,kovdor,67.5662,30.4758,10.36,85,59,1.19,RU,1722730766
66,klyuchi,52.2667,79.1667,18.54,82,19,3.4,RU,1722730685
67,iqaluit,63.7506,-68.5145,4.85,80,40,8.75,CA,1722730768
68,butterworth,5.3991,100.3638,27.02,74,20,1.03,MY,1722730770
69,virginia,37.5481,-77.4467,25.08,84,100,4.63,US,1722730558
70,bijapur,16.8333,75.7,22.65,86,100,7.89,IN,1722730772
71,aasiaat,68.7098,-52.8699,4.81,81,5,2.97,GL,1722730773
72,uturoa,-16.7333,-151.4333,24.84,68,76,6.27,PF,1722730774
73,st. john's,47.5649,-52.7093,19.66,80,40,8.75,CA,1722730775
74,ta`u,-14.2336,-169.5144,26.63,63,73,3.53,AS,1722730777
75,saipan,15.1355,145.701,30.39,74,75,6.17,MP,1722730778
76,puerto baquerizo moreno,-0.9,-89.6,19.3,78,76,4.63,EC,1722730779
77,lauro de freitas,-12.8944,-38.3272,25.01,65,40,6.69,BR,1722730780
78,isafjordur,66.0755,-23.124,7.53,95,100,6.17,IS,1722730781
79,hotan,37.0997,79.9269,27.19,31,25,3.29,CN,1722730783
80,keflavik,64.0049,-22.5624,11.95,87,75,5.14,IS,1722730784
81,yermentau,51.6214,73.1069,18.19,55,45,3.71,KZ,1722730785
82,awjilah,29.1081,21.2869,26.53,51,0,4.31,LY,1722730786
83,kurchum,48.5722,83.6542,20.55,61,42,2.77,KZ,1722730787
84,coahuayana de hidalgo,18.7,-103.6583,27.87,80,100,1.64,MX,1722730789
85,hobyo,5.3505,48.5268,24.39,87,82,10.7,SO,1722730790
86,palikir - national government center,6.9248,158.1611,31.47,70,20,2.57,FM,1722730791
87,tura,25.5198,90.2201,23.7,97,99,2.13,IN,1722730792
88,minas de marcona,-15.2119,-75.1103,10.97,87,20,6.66,PE,1722730793
89,avarua,-21.2078,-159.775,24.03,53,100,3.6,CK,1722730794
90,eldorado,-23.7869,-54.2836,26.84,30,63,2.32,BR,1722730796
91,tolanaro,-25.0319,46.9987,17.04,94,20,3.09,MG,1722730797
92,pacific grove,36.6177,-121.9166,26.79,85,0,3.6,US,1722730799
93,selfoss,63.9331,-20.9971,11.45,73,97,9.85,IS,1722730800
94,zharkent,44.1628,80.0,24.32,33,0,2.21,KZ,1722730802
95,villa gesell,-37.2639,-56.973,12.23,64,38,7.12,AR,1722730803
96,olonkinbyen,70.9221,-8.7187,5.24,95,94,3.8,SJ,1722730804
97,itamaraca,-7.7478,-34.8256,25.03,81,10,4.43,BR,1722730805
98,rongelap,11.1635,166.8941,28.38,76,9,2.47,MH,1722730807
99,kavaratti,10.5669,72.642,27.66,80,100,5.92,IN,1722730808
100,wailua homesteads,22.0669,-159.378,27.44,74,40,4.63,US,1722730809
101,kisangani,0.5167,25.2,22.32,96,95,1.08,CD,1722730810
102,nouna,12.7333,-3.8667,25.81,78,99,3.5,BF,1722730811
